run_id,finished_at_lima,order_id,status,detection_origin,site,appointment_date,appointment_hour,slots,submission_outcome,confirmation_source,defense_signal,duration_seconds,total_from_available_seconds,selection_seconds,captcha_solver_seconds,click_to_portal_response_seconds,screenshot_path,evidence_paths,message
***-122818-05ec60c4,2026-06-29 12:30:08,order-***,error,normal,,,,,,,network,110.028,,,,,error-***-122818-05ec60c4-order-***,error-***-122818-05ec60c4-order-***,"Locator.wait_for: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""#MainContent_idUcitas_cbosede"") to be visible"
***-082556-34136cfe,2026-06-30 08:27:37,order-***,error,normal,,,,,,,network,101.210,,,,,error-***-082556-34136cfe-order-***,error-***-082556-34136cfe-order-***,"Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to ""https://sistemas.policia.gob.pe/lunasoscurecidas/solicitud_menu.aspx"", waiting until ""domcontentloaded"""
***-083738-eb808447,2026-06-30 08:39:02,order-***,reservation_unconfirmed,normal,LIMA-LA VICTORIA,15/07/2026,11:00,,unknown,,,84.334,,,,,reservation-confirmation-***-083738-eb808447-order-***,reservation-confirmation-***-083738-eb808447-order-*** | process-stages-***-083738-eb808447-order-*** | result-available-***-083738-eb808447-order-***,"Se resolvio el captcha y se hizo click en Reservar, pero no se confirmo la etapa Programado."
***-093108-a8710f24,2026-06-30 09:31:22,order-***,completed,normal,,15/07/2026 11:00,,,,,,14.767,,,,,process-stages-***-093108-a8710f24-order-***,process-stages-***-093108-a8710f24-order-***,La etapa Separa Cita Peritaje ya esta en estado Programado. No hay una cita pendiente por reservar.
***-094129-1903c625,2026-07-01 09:43:19,order-***,error,normal,,,,,,,network,109.298,,,,,error-***-094129-1903c625-order-***,error-***-094129-1903c625-order-***,"Locator.wait_for: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""#MainContent_idUcitas_cbosede"") to be visible"
***-120135-471698c3,2026-07-01 12:03:52,order-***,reservation_unconfirmed,normal,LIMA-LA VICTORIA,06/07/2026,08:00,,unknown,unconfirmed,,137.128,63.485,1.766,33.609,0.110,reservation-confirmation-***-120135-471698c3-order-***,reservation-confirmation-***-120135-471698c3-order-*** | process-stages-***-120135-471698c3-order-*** | result-available-***-120135-471698c3-order-***,"Se resolvio el captcha y se hizo click en Reservar, pero no se confirmo la etapa Programado."
***-113001-a861c8bc,2026-07-02 11:31:32,order-***,reservation_unconfirmed,normal,LIMA-LA VICTORIA,14/07/2026,11:00,,unknown,unconfirmed,,91.663,66.687,1.672,33.781,0.047,06-reserva-respuesta-portal-intento-1-***-113001-a861c8bc-order-***,06-reserva-respuesta-portal-intento-1-***-113001-a861c8bc-order-*** | 07-detalle-tramite-etapa-programado-confirmada-***-113001-a861c8bc-order-*** | 05-reserva-antes-de-enviar-intento-1-***-113001-a861c8bc-order-*** | 03-modal-reserva-citas-cupo-disponible-***-113001-a861c8bc-order-*** | screenshots\02-07-2026\05-reserva-antes-de-enviar-intento-1-***-113001-a861c8bc-order-*** | screenshots\02-07-2026\06-reserva-respuesta-portal-intento-1-***-113001-a861c8bc-order-*** | screenshots\02-07-2026\07-detalle-tramite-etapa-programado-confirmada-***-113001-a861c8bc-order-*** | screenshots\02-07-2026\diagnostics\06-reserva-respuesta-portal-html-intento-1-***-113001-a861c8bc-order-***,"Se resolvio el captcha y se hizo click en Reservar, pero no se confirmo la etapa Programado."
***-124542-3a856c97,2026-07-02 12:47:45,order-***,reservation_unconfirmed,normal,LIMA-LA VICTORIA,17/07/2026,09:00,,unknown,unconfirmed,,123.757,72.485,1.797,33.922,0.063,05-reserva-antes-de-enviar-intento-1-***-124542-3a856c97-order-***,05-reserva-antes-de-enviar-intento-1-***-124542-3a856c97-order-*** | 06-reserva-respuesta-portal-intento-1-***-124542-3a856c97-order-*** | 03-modal-reserva-citas-cupo-disponible-***-124542-3a856c97-order-*** | screenshots\02-07-2026\05-reserva-antes-de-enviar-intento-1-***-124542-3a856c97-order-*** | screenshots\02-07-2026\06-reserva-respuesta-portal-intento-1-***-124542-3a856c97-order-*** | screenshots\02-07-2026\diagnostics\06-reserva-respuesta-portal-html-intento-1-***-124542-3a856c97-order-***,"Se resolvio el captcha y se hizo click en Reservar, pero no se confirmo la etapa Programado."
***-095503-4b3cb1b2,2026-07-03 09:56:08,order-***,unavailable,normal,LIMA-LA VICTORIA,17/07/2026,10:00,,slot_lost,,,65.016,19.843,1.688,12.234,0.047,06-reserva-respuesta-portal-intento-1-***-095503-4b3cb1b2-order-***,06-reserva-respuesta-portal-intento-1-***-095503-4b3cb1b2-order-*** | 05-reserva-antes-de-enviar-intento-1-***-095503-4b3cb1b2-order-*** | 03-modal-reserva-citas-cupo-disponible-***-095503-4b3cb1b2-order-*** | screenshots\05-reserva-antes-de-enviar-intento-1-***-095503-4b3cb1b2-order-*** | screenshots\06-reserva-respuesta-portal-intento-1-***-095503-4b3cb1b2-order-*** | screenshots\03-07-2026\diagnostics\06-reserva-respuesta-portal-html-intento-1-***-095503-4b3cb1b2-order-***,El cupo dejo de estar disponible antes de completar la reserva.
***-101348-***,2026-07-03 10:14:36,order-***,reservation_unconfirmed,normal,LIMA-LA VICTORIA,20/07/2026,10:00,,confirmed,success_text_revalidation_inconclusive,,48.132,12.500,1.735,1.703,0.063,06-reserva-respuesta-portal-intento-1-***-101348-***-order-***,06-reserva-respuesta-portal-intento-1-***-101348-***-order-*** | 07-detalle-tramite-etapa-programado-confirmada-***-101348-***-order-*** | 05-reserva-antes-de-enviar-intento-1-***-101348-***-order-*** | 03-modal-reserva-citas-cupo-disponible-***-101348-***-order-*** | screenshots\03-07-2026\05-reserva-antes-de-enviar-intento-1-***-101348-***-order-*** | screenshots\03-07-2026\06-reserva-respuesta-portal-intento-1-***-101348-***-order-*** | screenshots\03-07-2026\07-detalle-tramite-etapa-programado-confirmada-***-101348-***-order-*** | screenshots\03-07-2026\diagnostics\06-reserva-respuesta-portal-html-intento-1-***-101348-***-order-***,"El portal mostro mensaje de exito despues de hacer click en Reservar, pero no se confirmo la etapa Programado."
