date_lima,events,registered,available,reservation_unconfirmed,unknown,defense_signals,slot_lost,captcha_invalid
2026-08-01,13,0,0,0,0,0,7,0
2026-08-03,49,6,0,0,1,0,13,0
2026-08-04,35,3,0,0,0,0,10,0
2026-08-05,42,6,0,0,1,0,9,0
2026-08-06,1,0,0,0,0,1,0,0
2026-08-07,45,5,0,0,0,1,10,0
2026-08-08,18,0,0,0,0,0,8,0
2026-08-10,23,4,0,0,0,0,2,0
2026-08-11,30,1,7,0,0,0,1,0
2026-08-12,51,1,48,0,0,1,1,0
2026-08-13,20,4,15,0,0,1,0,0
2026-08-14,19,0,17,0,0,0,0,0
2026-08-15,634,0,633,0,0,0,0,0
2026-08-17,61,3,55,0,0,1,0,0
2026-08-18,263,11,223,0,0,1,4,0
2026-08-19,117,4,36,0,0,0,0,0
2026-08-20,108,8,53,0,0,0,2,0
2026-08-21,155,6,58,0,0,0,2,0
2026-08-22,21,7,2,0,0,0,2,0
2026-08-24,54,18,24,0,1,0,9,0
2026-08-25,78,9,64,0,0,0,4,0
2026-08-26,117,8,41,0,0,2,2,0
2026-08-27,26,9,0,0,0,0,8,0
2026-08-28,37,13,17,0,0,1,5,0
2026-08-29,36,7,0,0,0,0,2,0
2026-08-31,28,6,0,0,1,0,14,0
