run_id,finished_at_lima,order_id,status,detection_origin,site,appointment_date,appointment_hour,slots,submission_outcome,confirmation_source,defense_signal,duration_seconds,total_from_available_seconds,selection_seconds,captcha_solver_seconds,click_to_portal_response_seconds,screenshot_path,evidence_paths,message
***-233923-10c78531,2026-07-06 23:39:33,order-***,partial,fetch_probe,LIMA-LA VICTORIA,06/07/2026,Sin Cupos,Sin Cupos,,,,10.252,,,,,parcial-233923-order-***-187ac0.png,parcial-233923-order-***-187ac0.png,"Se detecto fecha disponible, pero aun no hay hora seleccionable. La disponibilidad fue detectada por consulta directa al formulario."
***-123813-d7a19608,2026-07-06 12:38:22,order-***,partial,normal,LIMA-LA VICTORIA,20/07/2026,12:00,15,blocked_by_order_rule,,,8.522,3.594,1.813,,,04-reserva-captcha-panel-tecnico-2captcha-***-123813-d7a19608-order-***-498b6359366d4729a06e5d2c883b5285.png,04-reserva-captcha-panel-tecnico-2captcha-***-123813-d7a19608-order-***-498b6359366d4729a06e5d2c883b5285.png | 04-reserva-captcha-tecnico-2captcha-***-123813-d7a19608-order-***-e0539454626a4b2a9ce1a751407565d9-original-html.png | 03-modal-reserva-citas-cupo-disponible-***-123813-d7a19608-order-***-6a02d62e6b1e4dbf82f11c0cc9195c41.png | screenshots\06-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-123813-d7a19608-order-***-e0539454626a4b2a9ce1a751407565d9-original-html.png | screenshots\06-07-2026\04-reserva-captcha-panel-tecnico-2captcha-***-123813-d7a19608-order-***-498b6359366d4729a06e5d2c883b5285.png,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-123801-5e8bca9f,2026-07-06 12:38:11,order-***,partial,normal,LIMA-LA VICTORIA,20/07/2026,12:00,15,blocked_by_order_rule,,,9.740,4.391,1.750,,,04-reserva-captcha-panel-tecnico-2captcha-***-123801-5e8bca9f-order-***-89fd323fe07741ce856abcbcbfaef3eb.png,04-reserva-captcha-panel-tecnico-2captcha-***-123801-5e8bca9f-order-***-89fd323fe07741ce856abcbcbfaef3eb.png | 04-reserva-captcha-tecnico-2captcha-***-123801-5e8bca9f-order-***-3b6f608a9b284130a40748440f06f467-original-html.png | 03-modal-reserva-citas-cupo-disponible-***-123801-5e8bca9f-order-***-3f5dd8ebbc854f719e9dc670254b41b4.png | screenshots\06-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-123801-5e8bca9f-order-***-3b6f608a9b284130a40748440f06f467-original-html.png | screenshots\06-07-2026\04-reserva-captcha-panel-tecnico-2captcha-***-123801-5e8bca9f-order-***-89fd323fe07741ce856abcbcbfaef3eb.png,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-100928-b70ff5bc,2026-07-06 10:09:41,order-***,unavailable,normal,LIMA-LA VICTORIA,11/07/2026,11:00,20,slot_lost,,,13.252,8.719,1.687,1.375,0.047,04-reserva-captcha-panel-tecnico-2captcha-***-100928-b70ff5bc-order-***-1626c05bd7784824822fe4d23c6b7185.png,04-reserva-captcha-panel-tecnico-2captcha-***-100928-b70ff5bc-order-***-1626c05bd7784824822fe4d23c6b7185.png | screenshots\06-07-2026\diagnostics\06-reserva-respuesta-portal-html-intento-1-***-100928-b70ff5bc-order-***-.html | screenshots\06-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-100928-b70ff5bc-order-***-d8fd6d1ae85647ef8e7a31d0d8274ef5-original-html.png | screenshots\06-07-2026\04-reserva-captcha-panel-tecnico-2captcha-***-100928-b70ff5bc-order-***-1626c05bd7784824822fe4d23c6b7185.png,El cupo dejo de estar disponible antes de completar la reserva.
***-092647-1ba25691,2026-07-06 09:26:57,order-***,partial,normal,LIMA-LA VICTORIA,21/07/2026,10:00,10,blocked_by_order_rule,,,9.511,4.188,1.719,,,04-reserva-captcha-panel-tecnico-2captcha-***-092647-1ba25691-order-***-4dbd7de3370b48d4bf8e135c34e72223.png,04-reserva-captcha-panel-tecnico-2captcha-***-092647-1ba25691-order-***-4dbd7de3370b48d4bf8e135c34e72223.png | 04-reserva-captcha-tecnico-2captcha-***-092647-1ba25691-order-***-17641868845b41c0b2b4b25b9a3f2157-original-html.png | 03-modal-reserva-citas-cupo-disponible-***-092647-1ba25691-order-***-967e0364eae34f7d9ff2bec006395834.png | screenshots\06-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-092647-1ba25691-order-***-17641868845b41c0b2b4b25b9a3f2157-original-html.png | screenshots\06-07-2026\04-reserva-captcha-panel-tecnico-2captcha-***-092647-1ba25691-order-***-4dbd7de3370b48d4bf8e135c34e72223.png,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-092634-ca3e4deb,2026-07-06 09:26:44,order-***,partial,normal,LIMA-LA VICTORIA,21/07/2026,10:00,10,blocked_by_order_rule,,,9.797,3.594,1.781,,,04-reserva-captcha-panel-tecnico-2captcha-***-092634-ca3e4deb-order-***-e99fc85cc1604fb389c9c5447b68a3d2.png,04-reserva-captcha-panel-tecnico-2captcha-***-092634-ca3e4deb-order-***-e99fc85cc1604fb389c9c5447b68a3d2.png | 04-reserva-captcha-tecnico-2captcha-***-092634-ca3e4deb-order-***-54adb8c9741a4ecbab012ff1bbb87990-original-html.png | 03-modal-reserva-citas-cupo-disponible-***-092634-ca3e4deb-order-***-fc38f01246604b40abfb0cd0f298e778.png | screenshots\06-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-092634-ca3e4deb-order-***-54adb8c9741a4ecbab012ff1bbb87990-original-html.png | screenshots\06-07-2026\04-reserva-captcha-panel-tecnico-2captcha-***-092634-ca3e4deb-order-***-e99fc85cc1604fb389c9c5447b68a3d2.png,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-092602-fa408640,2026-07-06 09:26:32,order-***,partial,normal,LIMA-LA VICTORIA,21/07/2026,10:00,10,blocked_by_order_rule,,,30.110,4.156,1.750,,,04-reserva-captcha-panel-tecnico-2captcha-***-092602-fa408640-order-***-5c92eb49a94f4ce4b5ceb5b52ccbffc6.png,04-reserva-captcha-panel-tecnico-2captcha-***-092602-fa408640-order-***-5c92eb49a94f4ce4b5ceb5b52ccbffc6.png | 04-reserva-captcha-tecnico-2captcha-***-092602-fa408640-order-***-e3a6c429f1c54f59a5693bc51fe7b968-original-html.png | 03-modal-reserva-citas-cupo-disponible-***-092602-fa408640-order-***-080f1c8fe2c74c918f155d5ff4201a55.png | screenshots\06-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-092602-fa408640-order-***-e3a6c429f1c54f59a5693bc51fe7b968-original-html.png | screenshots\06-07-2026\04-reserva-captcha-panel-tecnico-2captcha-***-092602-fa408640-order-***-5c92eb49a94f4ce4b5ceb5b52ccbffc6.png,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-092529-8336d91c,2026-07-06 09:25:59,order-***,partial,normal,LIMA-LA VICTORIA,20/07/2026,12:00,10,blocked_by_order_rule,,,29.929,4.109,1.719,,,04-reserva-captcha-panel-tecnico-2captcha-***-092529-8336d91c-order-***-ed16a749ca77404fb5d167434f9c4296.png,04-reserva-captcha-panel-tecnico-2captcha-***-092529-8336d91c-order-***-ed16a749ca77404fb5d167434f9c4296.png | 04-reserva-captcha-tecnico-2captcha-***-092529-8336d91c-order-***-9588e450289543d5808bf1f8bd282d5e-original-html.png | 03-modal-reserva-citas-cupo-disponible-***-092529-8336d91c-order-***-55a33207cf1e433ba5364c95f7ed1da5.png | screenshots\06-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-092529-8336d91c-order-***-9588e450289543d5808bf1f8bd282d5e-original-html.png | screenshots\06-07-2026\04-reserva-captcha-panel-tecnico-2captcha-***-092529-8336d91c-order-***-ed16a749ca77404fb5d167434f9c4296.png,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-092154-3add598c,2026-07-06 09:22:24,order-***,partial,normal,LIMA-LA VICTORIA,20/07/2026,10:00,20,blocked_by_order_rule,,,30.165,4.203,1.703,,,04-reserva-captcha-panel-tecnico-2captcha-***-092154-3add598c-order-***-56a43c12b8474bd0be2ae7ba60bdfd37.png,04-reserva-captcha-panel-tecnico-2captcha-***-092154-3add598c-order-***-56a43c12b8474bd0be2ae7ba60bdfd37.png | 04-reserva-captcha-tecnico-2captcha-***-092154-3add598c-order-***-3e5bf1826a044a08818f96bf9387245c-original-html.png | 03-modal-reserva-citas-cupo-disponible-***-092154-3add598c-order-***-4df5c6db87174341b33fd229fa13b12c.png | screenshots\06-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-092154-3add598c-order-***-3e5bf1826a044a08818f96bf9387245c-original-html.png | screenshots\06-07-2026\04-reserva-captcha-panel-tecnico-2captcha-***-092154-3add598c-order-***-56a43c12b8474bd0be2ae7ba60bdfd37.png,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-092125-c7504c44,2026-07-06 09:21:52,order-***,partial,normal,LIMA-LA VICTORIA,20/07/2026,09:00,20,blocked_by_order_rule,,,26.602,4.360,1.703,,,04-reserva-captcha-panel-tecnico-2captcha-***-092125-c7504c44-order-***-9cbad09d5d6241558ec69f1ad75539a2.png,04-reserva-captcha-panel-tecnico-2captcha-***-092125-c7504c44-order-***-9cbad09d5d6241558ec69f1ad75539a2.png | 04-reserva-captcha-tecnico-2captcha-***-092125-c7504c44-order-***-4a1f7afa68c743f99a3f5e631d8e4ba2-original-html.png | 03-modal-reserva-citas-cupo-disponible-***-092125-c7504c44-order-***-8b3b54cd4dd345088d122a3af5084609.png | screenshots\06-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-092125-c7504c44-order-***-4a1f7afa68c743f99a3f5e631d8e4ba2-original-html.png | screenshots\06-07-2026\04-reserva-captcha-panel-tecnico-2captcha-***-092125-c7504c44-order-***-9cbad09d5d6241558ec69f1ad75539a2.png,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
