run_id,finished_at_lima,order_id,status,detection_origin,site,appointment_date,appointment_hour,slots,submission_outcome,confirmation_source,defense_signal,duration_seconds,total_from_available_seconds,selection_seconds,captcha_solver_seconds,captcha_field_fill_seconds,pre_click_validation_seconds,submission_intent_seconds,selection_stabilization_mode,click_to_portal_response_seconds,screenshot_path,evidence_paths,message
***-080931-54d410da,2026-08-01 08:09:51,order-***,partial,normal,LIMA-LA VICTORIA,01/08/2026,11:00,27,blocked_by_order_rule,,,19.943,6.421,1.953,,,,,,,screenshots\2026-08\01-08-2026\captchas\captcha-080931-order-***,screenshots\2026-08\01-08-2026\captchas\captcha-080931-order-***,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-081040-d787dbae,2026-08-01 08:11:11,order-***,partial,normal,LIMA-LA VICTORIA,01/08/2026,11:00,30,blocked_by_order_rule,,,31.549,6.407,1.953,,,,,,,screenshots\2026-08\01-08-2026\captchas\captcha-081040-order-***,screenshots\2026-08\01-08-2026\captchas\captcha-081040-order-***,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-094647-d0fd252c,2026-08-01 09:47:39,order-***,partial,normal,LIMA-LA VICTORIA,24/08/2026,12:00,10,blocked_by_order_rule,,,51.286,6.516,1.969,,,,,,,screenshots\2026-08\01-08-2026\captchas\captcha-094647-order-***,screenshots\2026-08\01-08-2026\captchas\captcha-094647-order-***,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-094740-ee6f33f7,2026-08-01 09:48:10,order-***,unavailable,normal,LIMA-LA VICTORIA,24/08/2026,12:00,15,slot_lost,,,30.381,15.047,1.656,7.484,,,,,0.046,screenshots\2026-08\01-08-2026\portal-1-094740-order-***,screenshots\2026-08\01-08-2026\portal-1-094740-order-*** | screenshots\2026-08\01-08-2026\preenvio-1-094740-order-*** | screenshots\2026-08\01-08-2026\cupo-094740-order-*** | screenshots\2026-08\01-08-2026\captchas\captcha-094740-order-*** | screenshots\2026-08\01-08-2026\diagnostics\portal-html-1-094740-order-***,El cupo dejo de estar disponible antes de completar la reserva.
***-094813-168770b4,2026-08-01 09:48:27,order-***,partial,normal,LIMA-LA VICTORIA,24/08/2026,12:00,20,blocked_by_order_rule,,,13.877,6.468,1.953,,,,,,,screenshots\2026-08\01-08-2026\captchas\captcha-094813-order-***,screenshots\2026-08\01-08-2026\captchas\captcha-094813-order-***,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-095224-508a8e4c,2026-08-01 09:52:48,order-***,unavailable,normal,LIMA-LA VICTORIA,22/08/2026,11:00,5,slot_lost,,,23.929,8.718,1.672,1.265,,,,,0.047,screenshots\2026-08\01-08-2026\portal-1-095224-order-***,screenshots\2026-08\01-08-2026\portal-1-095224-order-*** | screenshots\2026-08\01-08-2026\preenvio-1-095224-order-*** | screenshots\2026-08\01-08-2026\cupo-095224-order-*** | screenshots\2026-08\01-08-2026\captchas\captcha-095224-order-*** | screenshots\2026-08\01-08-2026\diagnostics\portal-html-1-095224-order-***,El cupo dejo de estar disponible antes de completar la reserva.
***-101311-2014f36a,2026-08-01 10:13:21,order-***,partial,normal,LIMA-LA VICTORIA,08/08/2026,10:00,18,blocked_by_order_rule,,,10.242,6.422,1.937,,,,,,,screenshots\2026-08\01-08-2026\captchas\captcha-101311-order-***,screenshots\2026-08\01-08-2026\captchas\captcha-101311-order-***,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-101414-8f03fedb,2026-08-01 10:14:51,order-***,unavailable,normal,LIMA-LA VICTORIA,08/08/2026,11:00,15,slot_lost,,,37.272,14.390,1.656,6.938,,,,,0.031,screenshots\2026-08\01-08-2026\portal-1-101414-order-***,screenshots\2026-08\01-08-2026\portal-1-101414-order-*** | screenshots\2026-08\01-08-2026\preenvio-1-101414-order-*** | screenshots\2026-08\01-08-2026\cupo-101414-order-*** | screenshots\2026-08\01-08-2026\captchas\captcha-101414-order-*** | screenshots\2026-08\01-08-2026\diagnostics\portal-html-1-101414-order-***,El cupo dejo de estar disponible antes de completar la reserva.
***-101544-d5912f78,2026-08-01 10:16:09,order-***,unavailable,normal,LIMA-LA VICTORIA,12/08/2026,08:00,30,slot_lost,,,24.627,14.578,1.672,6.828,,,,,0.047,screenshots\2026-08\01-08-2026\portal-1-101544-order-***,screenshots\2026-08\01-08-2026\portal-1-101544-order-*** | screenshots\2026-08\01-08-2026\preenvio-1-101544-order-*** | screenshots\2026-08\01-08-2026\cupo-101544-order-*** | screenshots\2026-08\01-08-2026\captchas\captcha-101544-order-*** | screenshots\2026-08\01-08-2026\diagnostics\portal-html-1-101544-order-***,El cupo dejo de estar disponible antes de completar la reserva.
***-115205-2d959208,2026-08-01 11:52:55,order-***,unavailable,normal,LIMA-LA VICTORIA,12/08/2026,09:00,30,slot_lost,,,50.937,8.922,1.641,1.406,,,,,0.031,screenshots\2026-08\01-08-2026\portal-1-115205-order-***,screenshots\2026-08\01-08-2026\portal-1-115205-order-*** | screenshots\2026-08\01-08-2026\preenvio-1-115205-order-*** | screenshots\2026-08\01-08-2026\cupo-115205-order-*** | screenshots\2026-08\01-08-2026\captchas\captcha-115205-order-*** | screenshots\2026-08\01-08-2026\diagnostics\portal-html-1-115205-order-***,El cupo dejo de estar disponible antes de completar la reserva.
