metric,current,previous
registered,15,2
programmed_completed,6,1
reservation_unconfirmed,0,5
slot_lost,16,1
blocked_by_order_rule,18,4
defense_signals,0,3
slot_lost_rate,0.432432,0.111111
total_from_available_seconds_n,50,11
total_from_available_seconds_p50,6.977,8.031
total_from_available_seconds_p90,11.282900000000003,66.687
captcha_solver_seconds_n,31,7
captcha_solver_seconds_p50,1.359,12.234
captcha_solver_seconds_p90,3.047,33.837399999999995
selection_seconds_n,50,11
selection_seconds_p50,1.7185000000000001,1.688
selection_seconds_p90,1.891,1.797
account_switch_seconds_n,14,1
account_switch_seconds_p50,2.0,0.0
account_switch_seconds_p90,60.40000000000005,0.0
